color,piece,square,name,notes
white,pawn,a2,,
white,pawn,b2,,
white,pawn,c2,,
white,pawn,d2,,
white,pawn,e2,,
white,pawn,f2,,
white,pawn,g2,,
white,pawn,h2,,
white,knight,b1,,
white,knight,g1,,
white,bishop,c1,,
white,bishop,f1,,
white,rook,a1,,
white,rook,h1,,
white,queen,d1,,
white,king,e1,,
black,pawn,a7,,
black,pawn,b7,,
black,pawn,c7,,
black,pawn,d7,,
black,pawn,e7,,
black,pawn,f7,,
black,pawn,g7,,
black,pawn,h7,,
black,knight,b8,,
black,knight,g8,,
black,bishop,c8,,
black,bishop,f8,,
black,rook,a8,,
black,rook,h8,,
black,queen,d8,,
black,king,e8,,
